what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222947953234
closed,editor,org.eclipse.cdt.make.ui,5.0.1.200809120802,org.eclipse.cdt.make.editor,1222947953234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222947957140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222947958171
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1222947959906
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222947960296
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222947960359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1222947962000
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textStart,1222947962281
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1222947964125
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1222947966265
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222947966437
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1222947968796
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textStart,1222947969109
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1222947970687
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1222947974328
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222947974656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222947976281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222947976921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222947981578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222947982453
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222947988093
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1222947999156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222948005140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222948013671
