what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222955561796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222955563265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222955566578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222955571406
activated,perspective,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugPerspective,1222955588015
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222955588031
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1222955589234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222955589875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222955591781
activated,perspective,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CPerspective,1222955593093
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222955595406
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222955595625
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222955595687
activated,perspective,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugPerspective,1222955597234
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1222955598171
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222955605031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222955619046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222955623875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222955624656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222955727015
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.MemoryView,1222955733031
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.RegisterView,1222955733046
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.ModuleView,1222955733078
opened,editor,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui.SourceNotFoundEditor,1222955733593
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1222955736718
