what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222949295859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222949332593
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222949334031
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222949338093
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1222949338140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222949340406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222949725093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222949726859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222949737109
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222950110265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222950112656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222950409937
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222950429062
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1222950434578
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1222950434593
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222950442531
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1222950446234
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1222950459875
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1222950459890
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222950465500
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1222950465828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222950472062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222950510843
failed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations,1222950510875
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1222950520218
