what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934158031
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222934158046
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222934159640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934162265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934162468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934169062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934169421
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222934172593
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222934182281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934198765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934215031
activated,editor,org.eclipse.cdt.make.ui,5.0.1.200809120802,org.eclipse.cdt.make.editor,1222934219921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934252890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934265062
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222934265078
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222934269890
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1222934271781
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1222934271796
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222934273812
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222934279937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934288156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934631859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934637750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934637796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934659562
