what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222950766906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222950790187
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222950791703
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1222950978171
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222951078093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222951079921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222951081546
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1222951085359
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1222951085390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222951087171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222951088921
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.VariableView,1222951102906
opened,view,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui.DisassemblyView,1222951102968
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1222951103203
activated,perspective,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugPerspective,1222951103234
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222951103234
activated,perspective,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CPerspective,1222951105203
activated,perspective,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugPerspective,1222951106328
activated,perspective,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CPerspective,1222951107000
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222951234703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222951247015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222951284171
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1222951295937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222951296078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222951298937
