what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1222945269812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1222945270281
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1222945270921
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1222945273000
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1222945275859
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1222945277000
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1222945289875
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1222945297328
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222945297937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222945300109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222945301750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222945304656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222945306046
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222945309218
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222945309640
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222945309703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222945312843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222945313218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222945318296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222945319687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222945321921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222945324234
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1222945327703
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222945327937
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222945328015
