what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934659921
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222934663468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934664343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934688296
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222934688312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934690515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934690640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934700109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934709312
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1222934709343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934712718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934714796
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1222934714812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934716531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934722953
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1222934725765
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1222934726562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934728718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934728921
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222934730078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934733078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934753875
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222934753875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934755328
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222934755484
