what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222952671968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222952672093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222952674250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222952676343
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.TerminateAndRelaunch,1222952679281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222952680437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222952682375
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222952682765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222952695218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222952696468
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.MemoryView,1222952698781
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.RegisterView,1222952698796
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.ModuleView,1222952698828
opened,editor,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui.SourceNotFoundEditor,1222952698953
activated,editor,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui.SourceNotFoundEditor,1222952698984
activated,view,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui.DisassemblyView,1222952702687
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222952704781
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1222952706812
activated,view,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui.DisassemblyView,1222952708265
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1222952710234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222952717890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222952719359
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1222952774046
executed,command,,,AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.ManageBreakpointRulerAction,1222952789468
executed,command,,,AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.ManageBreakpointRulerAction,1222952790609
