what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.3.101.M20080827-0800,org.eclipse.ui.navigator,1222953869375
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1222953869500
started,bundle,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui,1222953869531
started,bundle,org.eclipse.cdt.make.ui,5.0.1.200809120802,org.eclipse.cdt.make.ui,1222953869765
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1222953870484
opened,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222953871437
opened,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1222953871546
activated,perspective,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CPerspective,1222953871562
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1222953871625
activated,perspective,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugPerspective,1222953888171
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1222953888828
executed,command,org.eclipse.ui.externaltools,,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1222953889828
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1222953889828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222953891500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222953897046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222953898156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222953911703
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1222953911796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222953912234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222953917578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222953923796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222953927390
failed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations,1222953927390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222953928546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222953939750
