what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944454812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944457390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944458703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944464500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944467750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944470343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944471578
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1222944480125
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222944485812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944487203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944515000
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1222944515015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944517656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944517765
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1222944521875
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222944527593
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944529000
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944536203
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1222944536218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944542437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944548187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944550593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1222944634281
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1222944634281
activated,view,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CView,1222944637750
